Number,Type
1,Grass
2,Grass
3-mega,Grass
3,Grass
4,Fire
5,Fire
6-mega-x,Fire
6-mega-y,Fire
6,Fire
7,Water
8,Water
9-mega,Water
9,Water
10,Bug
11,Bug
12,Bug
13,Bug
14,Bug
15-mega,Bug
15,Bug
16,Normal
17,Normal
18-mega,Normal
18,Normal
19,Normal
20,Normal
21,Normal
22,Normal
23,Poison
24,Poison
25-belle,Electric
25-libre,Electric
25-phd,Electric
25-pop-star,Electric
25-rock-star,Electric
25,Electric
26,Electric
27,Ground
28,Ground
29,Poison
30,Poison
31,Poison
32,Poison
33,Poison
34,Poison
35,Fairy
36,Fairy
37,Fire
38,Fire
39,Normal
40,Normal
41,Poison
42,Poison
43,Grass
44,Grass
45,Grass
46,Bug
47,Bug
48,Bug
49,Bug
50,Ground
51,Ground
52,Normal
53,Normal
54,Water
55,Water
56,Fighting
57,Fighting
58,Fire
59,Fire
60,Water
61,Water
62,Water
63,Psychic
64,Psychic
65-mega,Psychic
65,Psychic
66,Fighting
67,Fighting
68,Fighting
69,Grass
70,Grass
71,Grass
72,Water
73,Water
74,Rock
75,Rock
76,Rock
77,Fire
78,Fire
79,Water
80-mega,Water
80,Water
81,Electric
82,Electric
83,Normal
84,Normal
85,Normal
86,Water
87,Water
88,Poison
89,Poison
90,Water
91,Water
92,Ghost
93,Ghost
94-mega,Ghost
94,Ghost
95,Rock
96,Psychic
97,Psychic
98,Water
99,Water
100,Electric
101,Electric
102,Grass
103,Grass
104,Ground
105,Ground
106,Fighting
107,Fighting
108,Normal
109,Poison
110,Poison
111,Ground
112,Ground
113,Normal
114,Grass
115-mega,Normal
115,Normal
116,Water
117,Water
118,Water
119,Water
120,Water
121,Water
122,Psychic
123,Bug
124,Ice
125,Electric
126,Fire
127-mega,Bug
127,Bug
128,Normal
129,Water
130-mega,Water
130,Water
131,Water
132,Normal
133,Normal
134,Water
135,Electric
136,Fire
137,Normal
138,Rock
139,Rock
140,Rock
141,Rock
142-mega,Rock
142,Rock
143,Normal
144,Ice
145,Electric
146,Fire
147,Dragon
148,Dragon
149,Dragon
150-mega-x,Psychic
150-mega-y,Psychic
150,Psychic
151,Psychic
152,Grass
153,Grass
154,Grass
155,Fire
156,Fire
157,Fire
158,Water
159,Water
160,Water
161,Normal
162,Normal
163,Normal
164,Normal
165,Bug
166,Bug
167,Bug
168,Bug
169,Poison
170,Water
171,Water
172,Electric
173,Fairy
174,Normal
175,Fairy
176,Fairy
177,Psychic
178,Psychic
179,Electric
180,Electric
181-mega,Electric
181,Electric
182,Grass
183,Water
184,Water
185,Rock
186,Water
187,Grass
188,Grass
189,Grass
190,Normal
191,Grass
192,Grass
193,Bug
194,Water
195,Water
196,Psychic
197,Dark
198,Dark
199,Water
200,Ghost
201-f,Psychic
202,Psychic
203,Normal
204,Bug
205,Bug
206,Normal
207,Ground
208-mega,Steel
208,Steel
209,Fairy
210,Fairy
211,Water
212-mega,Bug
212,Bug
213,Bug
214-mega,Bug
214,Bug
215,Dark
216,Normal
217,Normal
218,Fire
219,Fire
220,Ice
221,Ice
222,Water
223,Water
224,Water
225,Ice
226,Water
227,Steel
228,Dark
229-mega,Dark
229,Dark
230,Water
231,Ground
232,Ground
233,Normal
234,Normal
235,Normal
236,Fighting
237,Fighting
